order_id,product_name,category,subcategory,price,quantity,total_amount,order_date,customer_region,payment_method,order_status,customer_age,customer_gender
ORD000020,原则,图书,图书图书,3030.3,3,9090.9,2024/11/03,华北,支付宝,cancelled,34,女
ORD000021,Nike Air Max,服装,服装服装,1229.38,5,6146.9,2024/10/03,西南,支付宝,completed,57,
ORD000022,原则,图书,图书图书,7075.48,8,56603.84,2024/11/14,华北,银行卡,pending,37,男
ORD000023,H&M 连衣裙,服装,服装服装,1743.85,3,5231.55,2024/04/26,华北,信用卡,completed,35,
ORD000024,Kindle Paperwhite,电子产品,电子产品,7078.21,7,49547.47,2024/06/06,西南,银行卡,completed,42,女
ORD000025,九阳豆浆机,家居,家居家居,3310.15,9,29791.35,2025/05/11,华中,信用卡,completed,24,男
ORD000026,百威啤酒,食品,食品食品,7636.1,4,30544.4,2024/03/30,华北,银行卡,pending,50,女
ORD000027,三只松鼠坚果礼盒,食品,食品食品,3502.06,6,21012.36,2024/08/26,华中,支付宝,completed,54,女
ORD000028,Dell XPS 15,电子产品,电子产品,1785.43,5,8927.15,2024/01/05,西南,银行卡,pending,56,
ORD000029,人类简史,图书,图书图书,9320.46,4,37281.84,2024/04/30,华东,微信支付,completed,43,女
ORD000030,九阳豆浆机,家居,家居家居,7663.13,7,53641.91,2024/09/11,华北,微信支付,completed,52,女
ORD000031,Sony WH-1000XM5,电子产品,电子产品,1901.22,1,1901.22,2024/03/26,西北,信用卡,pending,36,女
ORD000032,iPad Air,电子产品,电子产品,6603.74,6,39622.44,2024/03/01,西北,银行卡,refunded,24,男
ORD000033,人类简史,图书,图书图书,8912.08,4,35648.32,2024/10/09,华南,信用卡,completed,20,女
ORD000034,Dell XPS 15,电子产品,电子产品,5132.74,3,15398.22,2024/02/10,东北,微信支付,pending,62,女
ORD000035,iPhone 15,电子产品,电子产品,3519.63,5,17598.15,2025/03/09,东北,银行卡,completed,54,男
ORD000036,Zara 西装外套,服装,服装服装,8721.26,9,78491.34,2024/06/05,华南,支付宝,refunded,50,男
ORD000037,Nike Air Max,服装,服装服装,4166.63,4,16666.52,2024/06/12,华东,微信支付,completed,64,女
ORD000038,德芙巧克力,食品,食品食品,6170.52,7,43193.64,2024/08/30,东北,银行卡,pending,40,男
ORD000039,九阳豆浆机,家居,家居家居,6174.16,5,30870.8,2024/09/29,东北,支付宝,pending,21,男
ORD000040,百威啤酒,食品,食品食品,7897.83,2,15795.66,2024/12/25,华中,支付宝,completed,53,男
ORD000041,Adidas Ultraboost,服装,服装服装,3954.74,3,11864.22,2025/05/08,华南,支付宝,pending,58,女
ORD000042,人类简史,图书,图书图书,2108.28,7,14757.96,2024/10/19,西北,支付宝,completed,20,男
ORD000043,小米台灯,家居,家居家居,5865.68,6,35194.08,2025/02/07,东北,微信支付,completed,31,男
ORD000044,iPad Air,电子产品,电子产品,1455.2,1,1455.2,2024/02/16,东北,信用卡,completed,58,男
ORD000045,小米台灯,家居,家居家居,4455.93,10,44559.3,2025/03/16,华东,信用卡,pending,21,男
ORD000046,Apple Watch,电子产品,电子产品,2780.05,5,13900.25,2024/01/20,西北,银行卡,completed,56,男
ORD000047,九阳豆浆机,家居,家居家居,6354.0,3,19062.0,2025/03/31,华中,微信支付,completed,19,
ORD000048,罗技 MX Master 3,电子产品,电子产品,6153.12,1,6153.12,2025/05/01,西北,信用卡,refunded,59,男
ORD000049,思考快与慢,图书,图书图书,1006.84,10,10068.4,2024/06/28,西南,信用卡,completed,40,女
ORD000050,九阳豆浆机,家居,家居家居,4854.04,10,48540.4,2025/04/18,华东,支付宝,completed,23,
ORD000051,农夫山泉,食品,食品食品,9762.01,7,68334.07,2025/05/31,华中,银行卡,completed,35,男
ORD000052,AirPods Pro,电子产品,电子产品,3212.71,1,3212.71,2024/02/14,西北,支付宝,refunded,29,
ORD000053,原则,图书,图书图书,6362.79,6,38176.74,2025/03/08,西南,支付宝,refunded,36,女
ORD000054,良品铺子零食包,食品,食品食品,6668.32,8,53346.56,2024/11/06,华东,信用卡,completed,52,男
ORD000055,Dell XPS 15,电子产品,电子产品,7167.27,3,21501.81,2024/04/07,东北,信用卡,refunded,60,
ORD000056,Nike Air Max,服装,服装服装,869.74,2,1739.48,2024/04/22,西北,微信支付,pending,43,
ORD000057,原则,图书,图书图书,5056.6,9,45509.4,2024/06/30,东北,支付宝,completed,33,
ORD000058,Apple Watch,电子产品,电子产品,3547.69,8,28381.52,2024/02/26,华北,支付宝,completed,32,男
ORD000059,iPhone 15,电子产品,电子产品,4571.83,9,41146.47,2024/04/01,华北,微信支付,completed,36,女
ORD000060,Apple Watch,电子产品,电子产品,6418.74,2,12837.48,2024/09/09,西北,信用卡,completed,50,男
ORD000061,茅台酒,食品,食品食品,1038.82,1,1038.82,2025/02/25,华南,信用卡,cancelled,22,女
ORD000062,百威啤酒,食品,食品食品,7182.63,3,21547.89,2024/11/01,西南,支付宝,completed,52,女
ORD000063,德芙巧克力,食品,食品食品,6205.51,2,12411.02,2024/02/09,东北,微信支付,completed,28,女
ORD000064,Nike Air Max,服装,服装服装,2013.81,1,2013.81,2024/01/06,西北,信用卡,completed,55,
ORD000065,MacBook Air,电子产品,电子产品,7065.02,1,7065.02,2024/03/01,华中,支付宝,completed,33,男
ORD000066,茅台酒,食品,食品食品,1669.18,2,3338.36,2024/06/30,华东,微信支付,refunded,45,
ORD000067,Dell XPS 15,电子产品,电子产品,6046.91,9,54422.19,2024/01/08,华南,支付宝,completed,38,男
ORD000068,Samsung Galaxy S24,电子产品,电子产品,894.22,7,6259.54,2024/08/20,华中,信用卡,cancelled,30,男
ORD000069,三只松鼠坚果礼盒,食品,食品食品,1293.42,3,3880.26,2024/01/07,西南,支付宝,cancelled,23,男
ORD000070,Apple Watch,电子产品,电子产品,5543.1,10,55431.0,2024/06/14,华东,支付宝,cancelled,51,
ORD000071,Samsung Galaxy S24,电子产品,电子产品,3293.75,2,6587.5,2024/08/31,东北,微信支付,pending,33,女
ORD000072,Nike Air Max,服装,服装服装,7400.37,7,51802.59,2024/02/12,西北,信用卡,completed,47,男
ORD000073,Python编程从入门到实践,图书,图书图书,8920.06,4,35680.24,2024/05/13,华南,支付宝,completed,41,女
ORD000074,北面冲锋衣,服装,服装服装,214.25,1,214.25,2024/07/31,西北,微信支付,cancelled,56,男
ORD000075,三只松鼠坚果礼盒,食品,食品食品,1376.61,4,5506.44,2025/01/31,西北,信用卡,completed,25,女
ORD000076,农夫山泉,食品,食品食品,7864.6,5,39323.0,2024/10/09,西北,支付宝,completed,45,女
ORD000077,三只松鼠坚果礼盒,食品,食品食品,8413.93,3,25241.79,2025/03/15,华中,微信支付,pending,33,
ORD000078,Kindle Paperwhite,电子产品,电子产品,1156.64,6,6939.84,2025/01/25,西南,信用卡,completed,56,女
ORD000079,深入理解计算机系统,图书,图书图书,3008.96,10,30089.6,2024/12/19,华中,银行卡,pending,60,男
ORD000080,良品铺子零食包,食品,食品食品,3128.24,6,18769.44,2024/08/31,华中,支付宝,completed,61,
ORD000081,良品铺子零食包,食品,食品食品,4784.33,4,19137.32,2024/01/31,华南,微信支付,completed,20,女
ORD000082,德芙巧克力,食品,食品食品,6289.36,3,18868.08,2024/03/13,华东,信用卡,refunded,49,
ORD000083,算法导论,图书,图书图书,2434.81,7,17043.67,2025/05/24,西南,信用卡,cancelled,21,男
ORD000084,茅台酒,食品,食品食品,6402.44,4,25609.76,2024/06/20,华东,信用卡,completed,32,
ORD000085,小米台灯,家居,家居家居,4649.24,2,9298.48,2024/08/13,西北,银行卡,completed,42,女
ORD000086,Levi's 501,服装,服装服装,7873.62,9,70862.58,2025/02/25,西北,银行卡,completed,22,男
ORD000087,宜家书架,家居,家居家居,8199.32,1,8199.32,2024/06/28,西北,信用卡,completed,58,
ORD000088,戴森吸尘器,家居,家居家居,35.48,9,319.32,2025/03/17,华中,微信支付,completed,21,
ORD000089,优衣库羽绒服,服装,服装服装,294.38,1,294.38,2024/09/22,西北,银行卡,completed,58,
ORD000090,Python编程从入门到实践,图书,图书图书,1555.4,10,15554.0,2024/11/26,西南,微信支付,completed,53,
ORD000091,三体全集,图书,图书图书,559.53,6,3357.18,2025/03/13,西南,信用卡,completed,30,女
ORD000092,思考快与慢,图书,图书图书,2594.83,9,23353.47,2024/12/18,西南,支付宝,pending,43,
ORD000093,罗技 MX Master 3,电子产品,电子产品,6401.61,2,12803.22,2025/05/23,华中,支付宝,completed,38,男
ORD000094,北面冲锋衣,服装,服装服装,5933.43,7,41534.01,2024/02/08,西北,支付宝,pending,19,女
ORD000095,原则,图书,图书图书,7035.21,9,63316.89,2024/01/27,西南,支付宝,completed,19,女
ORD000096,Kindle Paperwhite,电子产品,电子产品,6317.72,4,25270.88,2024/05/09,华南,支付宝,completed,25,男
ORD000097,Dell XPS 15,电子产品,电子产品,4702.29,1,4702.29,2024/12/30,华东,银行卡,pending,39,
ORD000098,Levi's 501,服装,服装服装,5074.59,2,10149.18,2024/06/09,东北,支付宝,cancelled,32,
ORD000099,Sony WH-1000XM5,电子产品,电子产品,3791.6,8,30332.8,2025/02/28,华中,支付宝,completed,31,女
ORD000100,蒙牛纯牛奶,食品,食品食品,3661.07,5,18305.35,2024/07/22,华南,信用卡,pending,47,女
ORD000101,Kindle Paperwhite,电子产品,电子产品,1980.6,4,7922.4,2024/05/16,华北,信用卡,completed,26,
ORD000102,思考快与慢,图书,图书图书,94.63,9,851.67,2024/06/08,西南,银行卡,completed,32,男
ORD000103,美的电饭煲,家居,家居家居,4450.2,6,26701.2,2024/04/30,华南,微信支付,pending,28,女
ORD000104,小熊加湿器,家居,家居家居,7496.65,9,67469.85,2025/05/08,华北,信用卡,completed,60,女
ORD000105,网易严选床垫,家居,家居家居,2697.91,8,21583.28,2024/10/08,华东,银行卡,completed,20,男
ORD000106,iPhone 15,电子产品,电子产品,8547.16,3,25641.48,2024/05/16,华南,支付宝,refunded,19,
ORD000107,优衣库羽绒服,服装,服装服装,6164.7,8,49317.6,2024/07/22,华北,信用卡,completed,52,男
ORD000108,New Balance 574,服装,服装服装,7351.41,1,7351.41,2024/05/02,西北,信用卡,completed,54,
ORD000109,Samsung Galaxy S24,电子产品,电子产品,4643.67,5,23218.35,2024/05/31,西南,微信支付,cancelled,33,男
ORD000110,蒙牛纯牛奶,食品,食品食品,6567.7,8,52541.6,2025/03/21,华北,信用卡,completed,55,女
ORD000111,北面冲锋衣,服装,服装服装,7982.15,4,31928.6,2024/04/14,西南,银行卡,pending,56,男
ORD000112,良品铺子零食包,食品,食品食品,34.3,9,308.7,2024/09/28,华东,银行卡,completed,35,女
ORD000113,三体全集,图书,图书图书,1156.58,7,8096.06,2024/07/15,东北,信用卡,completed,26,男
ORD000114,小熊加湿器,家居,家居家居,2412.6,4,9650.4,2025/01/26,华北,支付宝,pending,21,女
ORD000115,美的电饭煲,家居,家居家居,1764.86,9,15883.74,2024/09/03,华北,银行卡,completed,63,
ORD000116,Python编程从入门到实践,图书,图书图书,8201.29,10,82012.9,2024/07/13,西南,微信支付,completed,64,男
ORD000117,iPhone 15,电子产品,电子产品,3538.24,9,31844.16,2024/02/06,华北,银行卡,completed,23,男
ORD000118,德芙巧克力,食品,食品食品,9621.78,10,96217.8,2024/07/21,华东,信用卡,completed,58,男
ORD000119,北面冲锋衣,服装,服装服装,7604.5,10,76045.0,2024/01/05,西北,信用卡,completed,32,男
ORD000120,Python编程从入门到实践,图书,图书图书,1267.15,9,11404.35,2025/04/06,华南,银行卡,cancelled,59,男
ORD000121,AirPods Pro,电子产品,电子产品,2959.74,8,23677.92,2024/08/08,西南,银行卡,completed,64,男
ORD000122,Apple Watch,电子产品,电子产品,8236.36,8,65890.88,2024/06/01,华中,银行卡,completed,45,
ORD000123,蒙牛纯牛奶,食品,食品食品,3062.81,9,27565.29,2024/08/18,西北,支付宝,cancelled,22,
ORD000124,Python编程从入门到实践,图书,图书图书,2622.39,9,23601.51,2024/10/01,华南,银行卡,completed,21,
ORD000125,小米台灯,家居,家居家居,6730.27,2,13460.54,2024/08/06,华东,支付宝,completed,64,男
ORD000126,宜家书架,家居,家居家居,2566.8,3,7700.4,2024/06/25,东北,信用卡,pending,30,男
ORD000127,Levi's 501,服装,服装服装,7393.87,9,66544.83,2024/07/19,华南,微信支付,completed,46,
ORD000128,星巴克咖啡豆,食品,食品食品,201.27,2,402.54,2024/04/29,西南,支付宝,completed,47,男
ORD000129,良品铺子零食包,食品,食品食品,6885.06,5,34425.3,2024/09/26,西南,银行卡,refunded,18,女
ORD000130,农夫山泉,食品,食品食品,6678.68,9,60108.12,2024/01/05,西北,信用卡,cancelled,60,男
ORD000131,Python编程从入门到实践,图书,图书图书,4639.11,6,27834.66,2025/01/02,西北,信用卡,completed,47,
ORD000132,Python编程从入门到实践,图书,图书图书,6354.55,7,44481.85,2024/08/10,华中,微信支付,cancelled,54,
ORD000133,Kindle Paperwhite,电子产品,电子产品,9369.38,7,65585.66,2024/08/28,东北,银行卡,pending,22,女
ORD000134,Levi's 501,服装,服装服装,2115.19,10,21151.9,2024/05/25,华北,支付宝,pending,51,男
ORD000135,罗技 MX Master 3,电子产品,电子产品,8650.92,5,43254.6,2024/10/10,华南,支付宝,completed,35,男
ORD000136,Dell XPS 15,电子产品,电子产品,2583.97,5,12919.85,2024/06/24,东北,支付宝,completed,36,女
ORD000137,星巴克咖啡豆,食品,食品食品,261.64,10,2616.4,2025/01/28,华中,支付宝,cancelled,43,女
ORD000138,Sony WH-1000XM5,电子产品,电子产品,7454.26,8,59634.08,2025/04/10,西南,微信支付,completed,61,男
ORD000139,小熊加湿器,家居,家居家居,8217.15,1,8217.15,2024/04/09,西北,支付宝,completed,20,女
ORD000140,美的电饭煲,家居,家居家居,3120.44,1,3120.44,2025/03/02,东北,信用卡,completed,40,
ORD000141,农夫山泉,食品,食品食品,9235.49,10,92354.9,2024/05/20,华中,信用卡,completed,58,
ORD000142,算法导论,图书,图书图书,6005.94,7,42041.58,2024/04/10,西南,银行卡,completed,59,女
ORD000143,Levi's 501,服装,服装服装,4728.67,6,28372.02,2025/05/24,西南,微信支付,pending,28,女
ORD000144,原则,图书,图书图书,5582.8,4,22331.2,2024/06/05,华南,信用卡,completed,53,女
ORD000145,Apple Watch,电子产品,电子产品,7300.5,3,21901.5,2024/03/31,华南,微信支付,completed,50,女
ORD000146,Python编程从入门到实践,图书,图书图书,71.57,9,644.13,2025/01/08,华东,信用卡,completed,42,女
ORD000147,农夫山泉,食品,食品食品,9376.56,9,84389.04,2024/04/01,华南,微信支付,completed,23,男
ORD000148,农夫山泉,食品,食品食品,9197.8,7,64384.6,2024/03/16,华中,微信支付,completed,40,
ORD000149,Zara 西装外套,服装,服装服装,7760.84,6,46565.04,2025/05/13,华北,信用卡,completed,58,女
ORD000150,北面冲锋衣,服装,服装服装,2469.24,4,9876.96,2024/07/30,西北,银行卡,pending,46,
ORD000151,小米台灯,家居,家居家居,5994.58,4,23978.32,2024/12/11,华东,信用卡,completed,45,女
ORD000152,百威啤酒,食品,食品食品,4266.75,6,25600.5,2024/05/13,华中,银行卡,pending,60,男
ORD000153,蒙牛纯牛奶,食品,食品食品,6921.85,10,69218.5,2024/08/29,华北,支付宝,completed,25,女
ORD000154,良品铺子零食包,食品,食品食品,4830.36,9,43473.24,2025/04/01,西南,银行卡,cancelled,40,女
ORD000155,iPhone 15,电子产品,电子产品,72.45,2,144.9,2025/05/14,华中,信用卡,completed,35,女
ORD000156,北面冲锋衣,服装,服装服装,-5918.61,7,-41430.27,2025/03/14,华北,支付宝,completed,35,男
ORD000157,Kindle Paperwhite,电子产品,电子产品,6925.34,5,34626.7,2024/11/06,东北,微信支付,completed,34,
ORD000158,Adidas Ultraboost,服装,服装服装,2666.04,1,2666.04,2024/01/08,西南,信用卡,pending,20,
ORD000159,三只松鼠坚果礼盒,食品,食品食品,1827.74,10,18277.4,2024/05/13,华北,信用卡,completed,30,
ORD000160,网易严选床垫,家居,家居家居,5679.94,2,11359.88,2025/04/06,西北,微信支付,completed,29,男
ORD000161,iPad Air,电子产品,电子产品,2926.98,7,20488.86,2024/07/25,华中,微信支付,completed,44,女
ORD000162,原则,图书,图书图书,2176.15,1,2176.15,2024/01/16,西南,银行卡,pending,62,女
ORD000163,优衣库羽绒服,服装,服装服装,4548.66,2,9097.32,2024/11/22,华北,信用卡,cancelled,43,
ORD000164,AirPods Pro,电子产品,电子产品,6981.3,4,27925.2,2025/02/06,华北,信用卡,completed,41,
ORD000165,三体全集,图书,图书图书,979.45,8,7835.6,2024/04/07,华北,支付宝,completed,19,
ORD000166,算法导论,图书,图书图书,5816.37,6,34898.22,2024/12/19,西北,支付宝,cancelled,28,女
ORD000167,美的电饭煲,家居,家居家居,-6454.33,2,-12908.66,2024/02/13,华南,微信支付,completed,50,男
ORD000168,Nike Air Max,服装,服装服装,3980.74,4,15922.96,2024/06/24,华东,支付宝,completed,35,女
ORD000169,茅台酒,食品,食品食品,8121.26,8,64970.08,2024/06/24,华北,微信支付,completed,65,女
ORD000170,美的电饭煲,家居,家居家居,2288.55,6,13731.3,2025/05/11,西北,信用卡,pending,27,男
ORD000171,三体全集,图书,图书图书,9816.79,4,39267.16,2025/04/25,华中,支付宝,cancelled,50,
ORD000172,思考快与慢,图书,图书图书,4903.31,6,29419.86,2025/05/25,华北,微信支付,completed,55,
ORD000173,蒙牛纯牛奶,食品,食品食品,8867.64,9,79808.76,2024/08/26,西北,信用卡,refunded,46,男
ORD000174,MacBook Air,电子产品,电子产品,4887.54,10,48875.4,2024/04/28,华北,银行卡,completed,31,
ORD000175,三只松鼠坚果礼盒,食品,食品食品,3952.37,4,15809.48,2025/05/27,西南,微信支付,completed,27,
ORD000176,良品铺子零食包,食品,食品食品,959.81,8,7678.48,2024/08/13,西南,银行卡,completed,19,男
ORD000177,星巴克咖啡豆,食品,食品食品,540.98,4,2163.92,2024/08/24,东北,信用卡,completed,52,男
ORD000178,AirPods Pro,电子产品,电子产品,5580.54,2,11161.08,2025/05/15,西北,银行卡,completed,23,
ORD000179,三体全集,图书,图书图书,8119.65,4,32478.6,2024/05/09,东北,微信支付,completed,50,男
ORD000180,原则,图书,图书图书,2580.44,10,25804.4,2025/01/11,华中,银行卡,pending,64,
ORD000181,Adidas Ultraboost,服装,服装服装,5192.39,6,31154.34,2024/07/21,西南,信用卡,completed,34,女
ORD000182,星巴克咖啡豆,食品,食品食品,1934.3,6,11605.8,2024/03/11,西南,银行卡,pending,31,
ORD000183,H&M 连衣裙,服装,服装服装,8100.41,1,8100.41,2024/07/24,华东,信用卡,refunded,49,
ORD000184,小米台灯,家居,家居家居,1502.81,7,10519.67,2025/01/10,华南,信用卡,completed,43,女
ORD000185,Zara 西装外套,服装,服装服装,7360.71,4,29442.84,2024/04/05,华中,微信支付,completed,21,男
ORD000186,Python编程从入门到实践,图书,图书图书,4997.79,10,49977.9,2025/02/11,华东,支付宝,refunded,42,
ORD000187,H&M 连衣裙,服装,服装服装,4656.09,8,37248.72,2024/06/24,华东,支付宝,refunded,63,
ORD000188,茅台酒,食品,食品食品,3964.88,4,15859.52,2025/03/15,西北,银行卡,refunded,51,
ORD000189,百威啤酒,食品,食品食品,5190.03,5,25950.15,2025/01/14,西北,微信支付,completed,29,女
ORD000190,宜家书架,家居,家居家居,7442.55,6,44655.3,2024/05/30,华南,信用卡,pending,31,
ORD000191,H&M 连衣裙,服装,服装服装,9966.67,7,69766.69,2024/02/20,华南,银行卡,completed,42,男
ORD000192,三体全集,图书,图书图书,2775.62,3,8326.86,2025/02/17,华南,信用卡,completed,26,
ORD000193,Zara 西装外套,服装,服装服装,6332.8,8,50662.4,2024/05/11,西南,微信支付,completed,64,女
ORD000194,Levi's 501,服装,服装服装,5829.93,8,46639.44,2024/08/07,华南,微信支付,pending,43,
ORD000195,星巴克咖啡豆,食品,食品食品,3917.16,9,35254.44,2025/01/04,西南,支付宝,completed,54,男
ORD000196,Sony WH-1000XM5,电子产品,电子产品,6775.89,6,40655.34,2024/01/14,西北,信用卡,refunded,19,
ORD000197,小熊加湿器,家居,家居家居,9583.13,6,57498.78,2024/03/14,西南,信用卡,cancelled,43,女
ORD000198,Apple Watch,电子产品,电子产品,9978.7,6,59872.2,2024/12/10,华南,支付宝,pending,40,男
ORD000199,戴森吸尘器,家居,家居家居,6030.89,7,42216.23,2024/01/27,西北,微信支付,completed,26,女
ORD000200,九阳豆浆机,家居,家居家居,2412.84,7,16889.88,2024/01/10,西北,银行卡,completed,23,
ORD000201,罗技 MX Master 3,电子产品,电子产品,8081.16,7,56568.12,2024/09/01,华南,信用卡,cancelled,50,女
ORD000202,MacBook Air,电子产品,电子产品,1214.3,5,6071.5,2024/04/15,华东,支付宝,pending,62,
ORD000203,罗技 MX Master 3,电子产品,电子产品,8058.52,10,80585.2,2024/02/22,东北,微信支付,completed,49,女
ORD000204,蒙牛纯牛奶,食品,食品食品,1213.52,8,9708.16,2025/04/23,华北,银行卡,cancelled,60,
ORD000205,Nike Air Max,服装,服装服装,2433.23,8,19465.84,2025/04/01,东北,信用卡,refunded,34,男
ORD000206,New Balance 574,服装,服装服装,7322.59,5,36612.95,2025/04/27,西北,信用卡,completed,43,男
ORD000207,优衣库羽绒服,服装,服装服装,5169.73,7,36188.11,2024/03/31,西南,银行卡,completed,33,男
ORD000208,Nike Air Max,服装,服装服装,2210.46,6,13262.76,2025/01/08,华中,支付宝,completed,40,男
ORD000209,美的电饭煲,家居,家居家居,1162.21,3,3486.63,2025/04/19,华北,微信支付,refunded,50,男
ORD000210,Zara 西装外套,服装,服装服装,1992.64,2,3985.28,2024/10/14,东北,支付宝,pending,24,女
ORD000211,Nike Air Max,服装,服装服装,9985.09,8,79880.72,2024/04/27,华北,支付宝,completed,21,
ORD000212,三只松鼠坚果礼盒,食品,食品食品,7910.9,4,31643.6,2024/05/17,华中,支付宝,cancelled,32,
ORD000213,优衣库羽绒服,服装,服装服装,152.48,9,1372.32,2024/10/01,西南,银行卡,pending,56,女
ORD000214,网易严选床垫,家居,家居家居,8249.85,3,24749.55,2025/04/20,西北,微信支付,completed,64,男
ORD000215,百威啤酒,食品,食品食品,7269.07,6,43614.42,2024/09/20,西北,信用卡,completed,30,男
ORD000216,MacBook Air,电子产品,电子产品,7975.56,2,15951.12,2024/08/12,西北,微信支付,cancelled,48,
ORD000217,良品铺子零食包,食品,食品食品,6396.96,9,57572.64,2024/10/18,华北,信用卡,completed,65,男
ORD000218,Zara 西装外套,服装,服装服装,8418.98,6,50513.88,2024/07/23,东北,银行卡,completed,63,
ORD000219,优衣库羽绒服,服装,服装服装,9728.17,9,87553.53,2024/04/04,华南,信用卡,completed,33,
ORD000220,百威啤酒,食品,食品食品,5922.08,10,59220.8,2025/02/13,西北,支付宝,cancelled,20,男
ORD000221,小米台灯,家居,家居家居,5300.27,1,5300.27,2024/10/13,华东,支付宝,refunded,47,男
ORD000222,iPad Air,电子产品,电子产品,766.48,5,3832.4,2024/09/07,华北,银行卡,completed,30,男
ORD000223,Nike Air Max,服装,服装服装,5108.87,1,5108.87,2024/07/09,华东,支付宝,pending,25,
ORD000224,Adidas Ultraboost,服装,服装服装,8228.49,6,49370.94,2024/10/27,西南,信用卡,refunded,55,
ORD000225,戴森吸尘器,家居,家居家居,4147.94,5,20739.7,2024/07/14,华中,微信支付,completed,41,
ORD000226,New Balance 574,服装,服装服装,3404.57,9,30641.13,2025/05/19,华东,支付宝,refunded,39,男
ORD000227,德芙巧克力,食品,食品食品,1400.24,7,9801.68,2025/02/03,华东,支付宝,completed,56,女
ORD000228,Dell XPS 15,电子产品,电子产品,3697.55,6,22185.3,2024/07/30,西北,信用卡,completed,47,女
ORD000229,iPhone 15,电子产品,电子产品,773.4,9,6960.6,2024/08/31,西北,信用卡,completed,43,女
ORD000230,美的电饭煲,家居,家居家居,2588.14,8,20705.12,2025/01/31,华南,信用卡,pending,47,女
ORD000231,小熊加湿器,家居,家居家居,8543.54,1,8543.54,2024/09/17,华北,信用卡,completed,45,
ORD000232,Dell XPS 15,电子产品,电子产品,3688.93,4,14755.72,2024/03/16,西北,微信支付,completed,47,女
ORD000233,Samsung Galaxy S24,电子产品,电子产品,8077.38,8,64619.04,2025/04/14,华北,支付宝,cancelled,42,男
ORD000234,深入理解计算机系统,图书,图书图书,7416.42,10,74164.2,2025/04/04,西北,微信支付,completed,44,女
ORD000235,深入理解计算机系统,图书,图书图书,6195.09,2,12390.18,2024/01/05,东北,银行卡,completed,62,女
ORD000236,原则,图书,图书图书,3626.41,3,10879.23,2024/08/25,东北,微信支付,cancelled,45,女
ORD000237,宜家书架,家居,家居家居,6368.45,7,44579.15,2025/02/26,华东,银行卡,refunded,52,男
ORD000238,三体全集,图书,图书图书,546.27,5,2731.35,2024/11/14,华南,微信支付,completed,46,女
ORD000239,小米台灯,家居,家居家居,8367.47,5,41837.35,2024/07/29,西南,信用卡,completed,37,女
ORD000240,深入理解计算机系统,图书,图书图书,2297.62,4,9190.48,2024/07/20,西北,信用卡,completed,22,
ORD000241,Dell XPS 15,电子产品,电子产品,6833.49,3,20500.47,2024/01/15,西南,银行卡,pending,44,女
ORD000242,宜家书架,家居,家居家居,3903.36,5,19516.8,2024/12/06,东北,微信支付,pending,62,男
ORD000243,Dell XPS 15,电子产品,电子产品,2055.95,7,14391.65,2024/11/14,华南,微信支付,cancelled,28,女
